Journal Title,eISSN,Open Access Status,Included in R&P agreement,Publisher,Agreement Duration
Analyst,1364-5528,Hybrid OA,Y,RSC,2024-2027
Analytical Methods,1759-9679,Hybrid OA,Y,RSC,2024-2027
Biomaterials Science,2047-4849,Hybrid OA,Y,RSC,2024-2027
Catalysis Science & Technology,2044-4761,Hybrid OA,Y,RSC,2024-2027
Chemical Communications ,1364-548X,Hybrid OA,Y,RSC,2024-2027
Chemical Science,2041-6539,Gold OA,Y,RSC,2024-2027
Chemical Society Reviews ,1460-4744,Hybrid OA,Y,RSC,2024-2027
CrystEngComm,1466-8033,Hybrid OA,Y,RSC,2024-2027
Dalton Transactions,1477-9234,Hybrid OA,Y,RSC,2024-2027
Digital Discovery,2635-098X,Gold OA,Y,RSC,2024-2027
EES Catalysis,2753-801X,Gold OA,Y,RSC,2024-2027
Energy & Environmental Science,1754-5706,Hybrid OA,Y,RSC,2024-2027
Energy Advances,2753-1457,Gold OA,Y,RSC,2024-2027
"Environmental Science, Process & Impacts",2050-7895,Hybrid OA,Y,RSC,2024-2027
Environmental Science: Advances,2754-7000,Gold OA,Y,RSC,2024-2027
Environmental Science: Atmospheres,2634-3606,Gold OA,Y,RSC,2024-2027
Environmental Science: Nano,2051-8161,Hybrid OA,Y,RSC,2024-2027
Environmental Science: Water Research & Technology,2053-1419,Hybrid OA,Y,RSC,2024-2027
Faraday Discussions,1364-5498,Hybrid OA,Y,RSC,2024-2027
Food & Function,2042-650X,Hybrid OA,Y,RSC,2024-2027
Green Chemistry,1463-9270,Hybrid OA,Y,RSC,2024-2027
Industrial Chemistry & Materials,2755-2500,Gold OA,Y,RSC,2024-2027
Inorganic Chemistry Frontiers,2052-1553,Hybrid OA,Y,RSC,2024-2027
Journal of Analytical Atomic Spectrometry,1364-5544,Hybrid OA,Y,RSC,2024-2027
Journal of Materials Chemistry A,2050-7496,Hybrid OA,Y,RSC,2024-2027
Journal of Materials Chemistry B,2050-7518,Hybrid OA,Y,RSC,2024-2027
Journal of Materials Chemistry C,2050-7534,Hybrid OA,Y,RSC,2024-2027
Lab on a Chip,1473-0189,Hybrid OA,Y,RSC,2024-2027
Materials Advances,2633-5409,Gold OA,Y,RSC,2024-2027
Materials Chemistry Frontiers,2052-1537,Hybrid OA,Y,RSC,2024-2027
Materials Horizons,2051-6355,Hybrid OA,Y,RSC,2024-2027
Molecular Omics,2515-4184,Hybrid OA,Y,RSC,2024-2027
Molecular Systems Design & Engineering,2058-9689,Hybrid OA,Y,RSC,2024-2027
Nanoscale,2040-3372,Hybrid OA,Y,RSC,2024-2027
Nanoscale Advances,2156-0230,Gold OA,Y,RSC,2024-2027
Nanoscale Horizons,2055-6764,Hybrid OA,Y,RSC,2024-2027
Natural Product Reports ,1460-4752,Hybrid OA,Y,RSC,2024-2027
New Journal of Chemistry ,1369-9261,Hybrid OA,Y,RSC,2024-2027
Organic & Biomolecular Chemistry ,1477-0539,Hybrid OA,Y,RSC,2024-2027
Organic Chemistry Frontiers,2052-4129,Hybrid OA,Y,RSC,2024-2027
Physical Chemistry Chemical Physics ,1463-9084,Hybrid OA,Y,RSC,2024-2027
Polymer Chemistry,1759-9962,Hybrid OA,Y,RSC,2024-2027
Reaction Chemistry & Engineering,2058-9883,Hybrid OA,Y,RSC,2024-2027
RSC Advances,2046-2069,Gold OA,Y,RSC,2024-2027
RSC Applied Interfaces,2755-3701,Gold OA,Y,RSC,2024-2027
RSC Applied Polymers,2755-371X,Gold OA,Y,RSC,2024-2027
RSC Chemical Biology,2633-0679,Gold OA,Y,RSC,2024-2027
RSC Mechanochemistry,2976-8683,Gold OA,Y,RSC,2024-2027
RSC Medicinal Chemistry,2632-8682,Hybrid OA,Y,RSC,2024-2027
RSC Pharmaceutics,2976-8713,Gold OA,Y,RSC,2024-2027
RSC Sustainability,2753-8125,Gold OA,Y,RSC,2024-2027
Sensors & Diagnostics,2635-0998,Gold OA,Y,RSC,2024-2027
Soft Matter,1744-6848,Hybrid OA,Y,RSC,2024-2027
Sustainable Energy & Fuels,2398-4902,Hybrid OA,Y,RSC,2024-2027
Sustainable Food Technology,2753-8095,Gold OA,Y,RSC,2024-2027
